"Nome do Arquivo";"Data";"Tema de Discussão"; "Contagem de Palavras"; "Fala"
1950-5-14-Churchill-House of Commons Hansard-MR. ASQUITH.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;18;Only as regards appeals from the new High Court. The Parliament can limit no other right of appeal.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;399;Pardon me. Surely an appeal from a State might very  likely come to the High Court, and then no appeal would lie to Her Majesty in Council. I will not argue the legal point with my right hon. friend, but I think it will be found that, inasmuch as any appeal may come from the Supreme Court of a State to the High Court, there will be a very considerable limitation of the right of appeal, because there would be no appeal from the High Court to the Judicial Committee of the Privy Council. I go on to another point to which I wish to call attention. Although this Bill does not in direct terms limit the right of veto, which is a right, although undoubtedly reserved to the Crown, which must, nevertheless, always be exercised with the most scrupulous care and consideration—although it does not take away that right, it would make it almost a stultification on the part of Her Majesty if the Crown were advised to exercise that right in a matter which we had expressly referred and delegated to the new Parliament. Now, these are the proposals. What are the main objections to these proposals? The matter was under discussion in the convention at Adelaide. When the Australian Premiers were here in the Jubilee year in 1897, I had the honour of discussing the subject with them, to which some public reference was made in Papers presented to this House. The conversations were as a rule in the nature of private discussions, but at the request of Mr. Reid, who was, as it were, the Dean of the representatives from Australia—being the Prime Minister of New South Wales, the mother colony —I handed to him a memorandum on the part of Her Majesty's Government of the amendments on the draft proposal, which we had seen, which we thought were desirable; and I specially called his attention to the probability that the Imperial Parliament would think it its duty to interfere if there were any limitation of the right of appeal. In this memorandum I quoted a passage from a memorandum of the Privy Council, which gave in very succinct terms the main objections to any proposal of the kind. In 1871 it appears a question was raised at the instigation of some of the Australian colonies, and then the Privy Council in their memorandum said— 
1950-5-14-Churchill-House of Commons Hansard-MR. ASQUITH.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;8;Are the amendments set out in the Blue-book?
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;751;No; but I think they are substantially the same. There is only one other point to which I wish to call the attention of the House. In the conferences which Her Majesty's Government held with the delegates from Australia allusion was made to a desire which has long been entertained by Her Majesty's Government to reconsider the constitution of the Supreme Court of the Empire. What the Lord Chancellor, as representing specially the Government in this matter, has had in view has been an amalgamation of the Judicial Committee of the Privy Council with the appeal jurisdiction of the House of Lords. But the House will readily see—the legal Members perhaps more readily than others—that this would be a very great change, involving very difficult and important constitutional questions, about which it would be of the highest importance to consult Canada and the other colonies and dependencies interested. Therefore, in this matter, as in the matter I previously referred to of the interpretation of colonial laws within the Act, we have to provide for the immediate future without prejudice to what may be done hereafter. I would remind the House that the present position is not satisfactory. When we came into office, we found a Bill prepared by my predecessor by which it was proposed to call to the Privy Council one representative of Canada, South Africa, and Australia to assist in the deliberations of the Privy Council. I found that scheme in the pigeon-holes of the Colonial Office. Her Majesty's Government adopted it because, although they thought it was not satisfactory, still it was a tentative step which would give us some experience, and seemed to meet the wish, already ex-  pressed, of the colonies. That was passed in the first session of the present Parliament. The result has been as we expected. It made no proposal for paying these gentlemen. The Australian colonies and the other colonies concerned—I am not quite certain about Canada—did not propose to pay themselves, and that confined the selection, and the gentlemen actually selected were Judges of high distinction, but who were still engaged in judicial functions in the several colonies. The result was that they could not be here permanently to deal with colonial cases in which they were interested. Another subsidiary result was that, when they were here and a colonial case came up, it might be one with which they had already dealt in their judicial capacity in the colonies. Practically, therefore, although some of these Judges—I believe all of them—have taken their seats and have assisted in the deliberations of the Judicial Committee, we have not secured, by means of that Act, such a permanent constitution of the Judicial Committee as would make it certain that on every occasion when a colonial case was involved there was a colonial Judge with full knowledge of local conditions well qualified to advise his colleagues. Therefore, what we propose, pending further consideration which must be given to any greater scheme, is to appoint for seven years a representative from each of these colonies and India, to be members of the Privy Council, who shall also act during that period as Lords of Appeal, and upon whom will be conferred life peerages, so that they may continue to sit in the House of Lords, although they will not act as Judges after the term of their service has expired. It may be that those services will be renewed, and provision may be taken to renew them if thought desirable. The Judges so appointed will be paid the same salaries as the Lords of Appeal are now paid, and payment will be made at the cost of the Imperial Parliament. Sir, that is the proposal which I hope will be submitted to the other House of Parliament in a very few days, and which I hope will be approved by Parliament as a whole. I feel I ought to apologise to the House. I have travelled over a great number of subjects in the course of this long review of an intricate subject. I have now only to ask the House to consent to the introduction of this Bill. I  hope they will be content subsequently to pass it exactly as it has been introduced. I am quite certain that no more important measure of legislation has ever been presented to Parliament, and that nothing throughout the whole course of the Queen's reign will be a more beneficent feature in that long and glorious history.
1950-5-14-Churchill-House of Commons Hansard-SIR H. CAMPBELL-BANNERMAN (Stirling Burghs).txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;1554;The full explanation of the right hon. Gentleman who has just sat down has justified the alarm with which many of us on this side of the House contemplated the possibility of this Bill being introduced under the ton minutes Rule. It was most desirable that the right hon. Gentleman should have an opportunity of making a full declaration of his policy, and I am sure all who have listened will not only admire, but profit by the extremely clear and full account he has given of the past history of the question, and of the details of the present proposal. But I wish that on this occasion we could adopt the celebrated Rule in one portion, but not the other. I think it would best represent the public desire, and certainly the interests of the House, that the right hon. Gentleman should have, as he has had, an opportunity for this full explanation, but that the speeches which are to follow should be as few and as brief as possible. As far as I am concerned, I have no intention whatever of occupying time with any elaborate analysis of all the proposals which the right hon. Gentleman has made. The right hon. Gentleman said that no doubt many would envy him the opportunity he enjoyed of bringing in this Bill. We all reciprocate that. It is not difficult to interpret the feeling of our countrymen on the introduction of this measure. There has been a deep, almost an affectionate, interest in the efforts which have been made so long by the statesmen and people of Australia to give themselves the form and status of a nation, and it has boon with the utmost satisfaction that in the course of this great constitutional movement we have been able to discern a total absence of any shade, tinge, or trace of impatience or reluctance with regard to  the relations between this country and the colonies. That, indeed, was no more than might be expected. The close, and ever closer, intercommunication, and the exchange of domicile constantly going on, the community of interest between them, the mutual pride which we have in each other, all help to strengthen year by year the original tie of blood and kinship. The wise policy which has been pursued of allowing these great, vigorous, young communities what is practically complete independence to administer their affairs has had an admirable result. The freer they have been from interference or patronage on our part, the warmer has been their sentiment towards this country, and I need hardly point out, for it has been prominently before us of late, that they have again and again offered their most precious possession—the lives of their sons—whenever they thought the mother country needed them. Therefore we need not be surprised that among men of all political opinions and parties in this country there is but one common desire—that this great constitutional scheme, designed and well calculated as it is to give strength and prosperity not only to Australia, but to the British Empire, should take effect with as little delay as possible. Up to this I have spoken of satisfaction and a common feeling of joy and common interest. But there is something more. I am afraid there will be widely felt a feeling of deep regret and disappointment that the Government have felt themselves obliged not to accept the proposition in its entirety, though it had received the stamp of the approval of the whole Australian people. If what is proposed was to be done, it surely is not now it should have been done, but two or three years ago. A prudent and careful Minister would have set himself to bring about a harmonious understanding and arrangement upon the points of difference which existed. The right hon. Gentleman spoke of conferences in the Jubilee year, and quoted from a memorandum, but that is not enough. Negotiations went on in Australia, conventions were held, and the proceedings were reported at great length, draft Bills were published, different amendments were published and the arguments by which they were supported or rejected were published, and everyone knew all about it, but the Government did nothing. They reserved action until the people of Australia had committed  themselves by solemn plebiscite to the provisions of the Bill, and then they insist on a change, thus—in effect, though I agree not in intention—giving an open rebuff to the Australian people. ["No, no! "] In effect, not in intention, giving an open rebuff —- ["No, no!"] —and flouting the representations of the delegates of the people. ["No, no!"] Now, the right hon. Gentleman has endeavoured to make good in his speech that which he has put at considerable length into the Blue-book; he has tried to dispose of the validity, the genuineness of the authority of the opinion expressed by and on the part of the Australian people; and he has thought it right as Colonial Minister—I do not know that it has ever been done before— to go behind the appointed representatives of the people. He invites his Governors to go about picking up gossip, he extorts opinions, even in some cases from unwilling lips, he gives a number of messages from chambers of commerce, from banks, and other institutions. But what is the value of these opinions unless we know what are their opinions upon the general question, and unless we know whether those who give them are opposed to federation altogether, or are chafing under the rejection of their own views? I think many of these opinions quoted to-night are vitiated somewhat by the fact that they miss the real object at issue. We have heard of opinions in favour of retaining the appeal to the Privy Council, but the question at issue is, Are we prepared to interpret this instrument as it is interpreted by the people of Australia? Then the right hon. Gentleman quotes extracts from newspapers. Well, we know how newspaper opinion can be and has been worked, not only in this, but in other instances. We should like to know something more about these newspapers. In one colony the right hon. Gentleman is opposed by a Conservative free trade journal, but supported by the Liberal protectionist journal. The description is confusing, and we should like to be better informed as to the ground on which we stand, before we accept in bulk newspaper criticism and opinion. This gathering up of opinions behind the backs of the delegates representing the Australian people is the proceeding of some eager local political partisan, and not such as we are accustomed to see on the part of a calm British Minister dealing  with a great constitutional development on the part of loyal and intelligent colonists. Well, this is not the stage at which such questions can be approximately discussed. We shall have a time— those of us especially who are learned in the law and competent to take part in these debates on the ground of their legal learning—we shall have a time to consider what the right hon. Gentleman has said; but simple people, and I class myself among them, not being in the least learned in the law, will ask why should it be so dangerous to leave the interpretation of the Commonwealth Act to those best acquainted with the circumstances and the state of feeling out of which it has arisen? Surely those who have framed it, who have seen the growth of the whole question, know what was intended when the Act was passed by the Australian people, and are better able to judge of the spirit and intention than persons who, though more learned, have no such acquaintance with local feeling. It is enough for me to say in the meantime that, even if all that legal ingenuity can urge in favour of the step taken by the Government were true, there still would remain the formidable objection that, even if it were a desirable thing to accomplish, and even if there were some little prospective danger to be warded off, it is not worth the consequences that may follow from the step the Government are taking for the sake of what is, after all, a small technical point. In order to overcome a difficulty that might be otherwise met we are to break in upon a solemn instrument, which represents not only the will of the Australian people, but a covenant and contract entered into by the colonies among themselves. We, are to break in upon that and throw the whole question of federation back into the field of political agitation. Will it not involve a further appeal to the Australian people? ["No."] I am disposed to form a contrary opinion. We are to deprive our action of the grace attaching to a hearty and confident reception; we sow the seeds of complaint and dissatisfaction little favourable to lasting unity. Therefore, as far as we on this side of the House are concerned, we will not be parties to taking the line the Government and the right hon. Gentleman propose. We will at the proper time support such an Amendment as may in some measure, at all events, modify the great mistake in Imperial  policy which has been disclosed to us to-night.
1950-5-14-Churchill-House of Commons Hansard-MR. FABER (York).txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;2567;I must crave the indulgence of the House upon this, my first occasion of addressing it, and I must ask the pardon of the House for Venturing to speak in so important a debate, My only excuse is that the subject is not an unfamiliar one to me, inasmuch as I was the Registrar of the Privy Council for nine years, and during that time all appeals from the colonies and from India passed through my hands. As regards the question of the new Constitution for Australia, I think that all that is necessary for me to say is, that I most heartily congratulate Australia on the fact that she is about, at last, to obtain the object of her desire. But the proposed limitation of the appeal to the Privy Council falls altogether into a different category. That is a matter which concerns, not Australia alone, but Australia in relation to this country; and, more than that, concerns our whole Empire. The Privy Council appeal is the right, in the last resort, of every subject of Her Majesty's Dominions beyond the seas to petition the Sovereign for justice; it is the prerogative right of the Sovereign to hear all such matters of complaint, and to grant such redress as the Sovereign may think fit. The Sovereign delegates the hearing to the Judicial Committee of the Privy Council, who report their opinion to the Sovereign; the Sovereign confirms their Report by an Order in Council; until so confirmed the Report has no validity whatever. It has been found necessary, from time to time, to cut down and modify the right of appeal of the subject. Throughout our Empire abroad, speaking generally, the subject has no right of appeal, unless the value of the matter in issue is ,£500 or over. Otherwise, special leave to appeal must be obtained from the Privy Council before an appeal can be brought. In the case of the Supreme Court of Canada, the subject has no right of appeal to the Privy Council at all. Special leave to appeal must in every case be obtained, and until that is obtained, the subject is precluded from any appeal so far as the Privy Council is concerned. But this is the first occasion on which it has been sought to cut down the prerogative right of the Sovereign to admit any appeal whatever, as she may think fit, to her Privy Council. I  think we shall be all agreed, both here and in Australia, that such a course ought not to be taken without cogent reasons being shown for it. What are these reasons? The first reason which has been adduced is that the people of Australia wish it. But are we quite justified in arriving at this conclusion? I know that a Bill of 128 Clauses was submitted to five of the colonies of Australia by a referendum, and that those colonies assented to it by large majorities, but did they do anything more than say "yea" to the great question, " Shall Australia be federated?." Are we justified in assuming from their answer that they approved of the Privy Council clause in the Bill? I venture to doubt whether most of those who answered "yea" knew that there was this Privy Council clause in the Bill at all, or if they did know, whether they were aware of the meaning of it. I do not think the Privy Council question is "popular" question at all. It is a question for the experts of Australia, and the experts are deeply divided upon it. Legal opinion in Australia, so far as we know, seems to be largely in favour of retaining the Privy Council appeal. In these circumstances, are we justified in making a radical change of this kind, on the ground that it is desired by the Australian people? I do not think that we arc. Another point that is taken is that all that Australia desires is the right to interpret her own Constitution; but the latter part of Clause 74 of the Bill goes far beyond this, for it provides that the Parliament of Australia may make laws, further limiting the Royal prerogative; and under such a power, that Parliament may at any time cut away the prerogative altogether, and certainly destroy the Privy Council appeal. It is put forward, in favour of this right to interpret her own Constitution, that the Australian Courts are the best judges in such a matter, and that Australia ought to have such a right, as a matter of self-government. But is it a matter of self-government at all? The colonies of Australia have been governing themselves, in the fullest sense of the word, for years; and yet there has been all the time an appeal to the Privy Council, which has worked perfectly smoothly, and has interfered in no way with self-government, for the reason that the two move altogether on different  planes. Is not the Dominion of Canada self-governing? There there is the free, unrestricted prerogative of the Sovereign to admit any appeal to the Privy Council she may think fit, In 1867 the British North America Act was passed, which incorporated the various provinces of Canada into one Dominion. That Act ascribed certain topics of legislation to the Dominion legislature, and certain topics to the legislatures of the Provinces. Questions constantly arose, between the Dominion and the Provinces, as to whether a particular topic of legislation fell within the powers of the Dominion or of a Province; large questions, in which the people of Canada were deeply interested—questions of education, of liquor-licence, of boundaries, of the rights of the Indians, among many others. These questions came, in the last resort, before the Privy Council, and I think the people of Canada were glad that they did, and were well satisfied with the decisions given. I should confidently appeal to the people of Canada to-day, to say whether or no they would prefer to keep the Privy Council appeal. [feel certain that their answer would be in the affirmative. Moreover, Clause 74 of the Bill, as I understand it, will not work, and is almost sure to lead to friction between the High Court of Australia and the Privy Council. May I take, if I am not wearying the House, just two or throe cases? Suppose a case, involving the interpretation of the Constitution, is brought in the Supreme Court of the State of New South Wales, as it may be, and that the judgment of that Court satisfies neither party; suppose that each side appeals, one to the High Court of Australia, the other direct to the Privy Council, and that the two tribunals differ; both will be final in the matter, though they conflict with each other. Which is to govern? Take another similar case involving the interpretation of the Constitution, which might easily arise. An action, on a question arising on the Constitution, is brought in the Supreme Court of the State of New South Wales. An action is brought, altogether independently, in the Supreme Court of the State of Victoria, happening to involve the same point; one case is appealed to the High Court of Australia and the other to the Privy Council. The two Courts take divergent views. Again you will have judicial chaos. Take  another case. Clause 74 provides that there is to be no appeal to the Privy Council from the High Court of Australia in matters involving the interpretation of the Constitution. But who is to decide whether it is a matter involving the Constitution or not? The High Court of Australia may think that it is and may decide the question finally; but the party aggrieved by the decision may present a petition to the Privy Council on the ground that the interpretation of the Constitution of Australia is not involved, and the Privy Council may take that view and grant leave to appeal, and hear the appeal, and the decision of the Privy Council may be different to the decision of the High Court of Australia. In such a case as that you will not only have a difference of opinion, but direct conflict between the two tribunals, the High Court of Australia considering that the Privy Council has assumed jurisdiction that does not belong to it. Exactly the same case may arise in the interpretation of "public interests" of Her Majesty's Dominions outside the Commonwealth referred to by Clause 74. The High Court of Australia may decide that public interests outside the Commonwealth are not concerned, whereas the Privy Council may hold that public interests are concerned. There again you would have a direct conflict between the two tribunals. I would much sooner see the Privy Council appeal done away with altogether, and the High Court of Australia made supreme in all matters, than I would run the risk of the jurisdiction of these two tribunals so overlapping as to be almost certain to come into collision. Then there is a different objection which has been taken to the Privy Council appeal, and I allude to it because the subject has come within my own experience. It has been said that there are long delays in the Privy Council. My memory tells me that, so far as delay is concerned, in bringing a case before the Privy' Council, that criticism is scarcely justified by the facts. I know there have been long delays in cases from Australia and elsewhere, but they have generally taken place in the colony from which the appeal has come, and before the record of the proceedings has reached the Privy Council office. It frequently takes a long.; time to prepare the record in the colony, and that is where the real delay, as a rule, occurs. But when the record  has arrived at the Privy Council office there is no delay in bringing the matter on for hearing, unless the parties them solves delay it. If the criticism means that there is delay in delivering judgment, then I must confess that there have been delays. But I do not think that fault is confined to the Privy Council alone. I think that many of our Courts in this country, and perhaps in the colonies, are equally open to that criticism. I venture to doubt whether judges are sufficiently alive to the serious inconvenience which is caused to suitors by delaying judgment in an appeal for sometimes many months after the hearing. Another objection which has been made to the Privy Council appeal is its expense. I know that all litigation is expensive and that law is a luxury of the most expensive nature. I do not think, however, that an appeal to the Privy Council is any more expensive than an appeal to the House of Lords, and I venture to doubt whether it is any more expensive than an appeal will be to the High Court of Australia. Another objection taken—and the most serious one of all—is, that the Privy Council is not a strong enough tribunal; that, in the words of one of the Delegates, the Privy Council is not a tribunal that this country would be satisfied with. In answer to the latter part of that criticism I may say that for years past the Privy Council has been a stronger tribunal than the House of Lords, which is the final Court in this country To-day the Privy Council consists not only of all the Lords who sit judicially in House of Lords cases, but of many members besides, including three distinguished judges from Canada, Australia, and South Africa. The real trouble does not lie there, but it lies in the fact that when the Privy Council and the House of Lords sit at the same time, as they frequently do, it is very difficult to make up two strong Courts, with the result that one is apt to be sacrificed to the other. There is only one remedy for this, and that is, that there ought to be more paid judges. We have relied far too much in the past upon gratuitous assistance, which has been nobly given, and which nobody desires to criticise. But when you have paid judges you have, of course, a right to call for their services, which you have not when they are unpaid. The right hon. Gentleman the Secretary of State for the Colonies, who introduced this Bill, has  foreshadowed the change that is going to be made. I myself hope the Privy Council will not be incorporated in the House of Lords. I am sure such a scheme would not be agreeable to India. The natives of India set great store by the fact that their appeals are made to the Queen Empress. Nor do I think it would be agreeable to the colonies. There are many Parliaments in the British Empire, but there is only one Crown, and I think the colonies, if they had to choose between the two, would prefer a strong Privy Council, which is the Court of the Sovereign, to the House of Lords, which is a Court of our Parliament. In my view the time has now come for the establishment of a new Court altogether, which would be neither the Privy Council nor the House of Lords. What I should like to see established would be a Court entitled "Her Majesty's Supreme Court of the "British Empire." Such a Court would satisfy both the colonies and India. Let it consist of eleven paid judges at least:— the Lord Chancellor, six Lords of Appeal from this country, three Lords of Appeal from the colonies, and one from India. Divide the Court into two divisions, and let the two divisions sit at the same time. Let one take the English, Irish, and Scotch appeals, and let the other deal with Colonial and Indian appeals. Let the quorum in each case be five; in a Court of final resort, such as this, I think the parties are entitled to have their cases tried by five judges at least. I know this will cost money, but it is worth it, if it is worth keeping the appeal from the colonies to this country. Running the Empire on the cheap is an expensive process in the end. I say it is worth keeping the appeal to this country. The Privy Council appeal in the past has been the strongest bond of union between this country and the colonies. A Canadian barrister once remarked to me that it was the one link between Canada and this country. I know that the old idea of treating our colonies as encumbrances has passed away for over. We all look upon them now as a joy and a glory— aye, and in our hour of need a strong help also. Thanks to the Secretary of State for the Colonies, the Premier of Canada, Lord Strathcona, and eminent men in Australia and New Zealand, the fire of patriotism burns in our colonies with a pure clear flame which is the wonder of the world. In South  Africa, men from Canada, New Zealand, and Australia are fighting side by side with men from England, Ireland, and Scotland, under one flag. With the copious outpouring of their blood they are sealing our Empire together. In the words of a great orator— 
1950-5-14-Churchill-House of Commons Hansard-SIR CHARLES DILKE  (Gloucestershire, Forest of Dean).txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;100;I hope the Attorney General will be able to answer a question with which I wish to begin. He probably has the amendments before him, and I wish to know whether the two main amendments placed before us by the Secretary of State for the Colonies are the only two substantial amendments. My reason for beginning with this ques-is that on page 19 of the Blue-book a third substantial amendment is foreshadowed, but has not been alluded to by the right hon. Gentleman. It concerns merchant shipping, and I wish to know whether it is to be made or not.
1950-5-14-Churchill-House of Commons Hansard-THE ATTORNEY GENERAL (Sir ROBERT FINLAY,  Inverness Burghs).txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;21;The two amendments mentioned by my right hon. friend the Colonial Secretary are the only two amendments of a substantial character.
1950-5-14-Churchill-House of Commons Hansard-SIR CHARLKS DILKE.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;26;And the words as to the Commonwealth Constitution being in force on merchant shipping from Commonwealth port to Commonwealth port are to remain in the Bill.
1950-5-14-Churchill-House of Commons Hansard-SIR ROBERT FINLAY.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;1;Yes.
1950-5-14-Churchill-House of Commons Hansard-SIR CHARLES DILKE.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;2195;I am glad to hoar that. It is a very excellent thing that the grounds of difference should be narrowed down to two, which,  in my opinion, are substantially one, and that this question of merchant shipping is not to be raised on this occasion. The two points which the Secretary of State for the Colonies has placed before us to-night are those which he thinks so important that, while waiving smaller matters, it is necessary that we should enter into a sort of friendly conflict concerning them with the Australian people, who have pronounced in a referendum in favour of this Bill. The first of these points refers to the application of the Colonial Laws Validity Act, and the other refers to the special leave to appeal. No one denies the applicability to all the colonies of the principle of the Colonial Laws Validity Act. The Secretary of State in his introductory speech alluded to it as being thought to be unnecessary by the Australians, and he argued that it was necessary. But how in the world is it possible to attach the importance to this matter which the Government does, to enter into a conflict regarding it, and to render a reopening of the whole constitutional question in Australia necessary, when the Secretary of State for the Colonies himself tells us that all the Colonial Laws Validity Act does is to confirm the already existing law of the Empire which is the law without it, and to preserve portions of Colonial Acts which otherwise would fall to the ground. The Colonial Secretary to-night explained the meaning of the Colonial Laws Validity Act. The effect of this Act was most ably argued by the light hon. Gentleman the Member for West Monmouth in one of his letters, signed "Historicus," in The Times. The Colonial Secretary adopts his view, and says that the principle of the Colonial Laws Validity Act is that it is an enabling statute to preserve portions of colonial laws which otherwise would have fallen through by reason of conflict with our laws. Where is the necessity to enter into a conflict as regards the applicability of that Act to Australia? The principle exists, everyone admits it, and no colony can divest itself of it. It is accepted by every Court and by the representatives of every colony, and why, therefore, enter into a conflict regarding it? Is it worth while to run all the risks which an alteration of the Act would imply either with regard to the Colonial Laws Validity Act or to the whole question of appeal, both being in reality  closely connected? The Colonial Secretary argued that we must rely upon statute and that we must run the risk of altering the Bill as it stands, because we cannot rely on what he calls the Veto. He implied in his speech that the Veto in the case of great dominions such as the Commonwealth cannot be applied. That is not the case. I ventured to move to day for a continuation of the Return issued in 1894 on this very question. It will be seen from that Return that a considerable number of Colonial Acts have either been reserved, which was the old practice, or contained a suspensory clause providing that they should not come into force until they have been scrutinised at home. In some cases controversy arose and the Acts were dropped. My point against these changes is that they are unnecessary. It is not necessary to introduce the Colonial Laws Validity Act, because it is admitted that its principle applies to all the Colonies, and would be enforced by every Court in the Empire, and with regard to any other dangers they are amply guarded against by the power of reservation or by a suspensory clause, or else they concern the Executive Government, and are entirely outside the question of appeal. That is my case against these changes. We should be able to judge the cases likely to arise in Australia by looking at the cases which have arisen in Canada. These have been cases concerning copyright, merchant shipping, and marriage with a deceased wife's sister. i Now, as regards copyright, there has never been any conflict between us and the Australians, and there is not likely to be any conflict. It is a question not likely to arise in Australia, although it has risen frequently in Canada. The case of merchant shipping is one which has arisen in Canada and may arise in Australia, but it is amply provided for by means of the power of reservation or by a suspensory clause, as in the case of Canada. There cannot be absolute uniformity in all our merchant shipping laws. That is gone beyond recovery. We have different codes in India and in Now Zealand. In New Zealand especially there are enormous differences, as an advanced principle with regard to merchant shipping has been adopted in her laws, with reference to the Manning Scale, and the provisions with regard to rate of wage, and these have been conceded to New Zealand without any reservation of  the Act. Until you get uniformity of legislation in large groups of colonies, all the dangers you apprehend are amply provided against, either by reservation or a suspensory clause. Remember that under this Constitution there is power given to the Governor-General to send the Bill back to the Parliament of the Commonwealth with suggestions for amendment, and of course in such a case it is certain that such amendments would be a matter for discussion between the Home Government and the Commonwealth Government, or for greater security the Act would of course be reserved. With regard to the question of appeal, I ask why many of the arguments addressed to us to-night should have been addressed to us at all. How do they strengthen the case for the proposed amendment? On page 26 of the Blue-book the House will find two main arguments given in favour of the change. One has been mentioned to-night, namely, foreign enlistment; the other has not been mentioned, namely, the case of merchant shipping, to which I have already alluded. If, however, there is real danger in such a case as foreign enlistment, that danger and other dangers to which I have alluded will not be guarded against by a reservation of the law or by a suspensory clause. It is the danger of action by the Executive Government of the colony—that is the danger we have to deal with, and no power of appeal, nor any of the amendments proposed to this Bill, can affect that danger. We can only trust in such matters to the good sense of the people of the colonies, as we have trusted to it in the past. Two cases of such conflict have arisen. One was when two Australian colonies made a statute forbidding entrance into the colonies of time-expired or pardoned convicts. That statute was disallowed, and the Executive Government proceeded to act on the disallowed Act as if it were actually in force. That was very dangerous action on the part of the Executive Government, and one calculated to make very serious trouble. That is the real danger we have to avoid, and none of the amendments to this Bill cover such a case as that. The other case which occurred had reference to the Fenian informers who were not allowed to land, and was again the action of the Executive Government. It is argued that many of  these dangers may be guarded against by an appeal to the Queen in Council. I confess I cannot see how they can be guarded against in such a way. With reference to danger arising out of the Foreign Enlistment Act I think it would be far better to stop at once the dangerous clauses in any such Act rather than wait until feeling was exasperated and actual danger had arisen in the colonies. These are dangers which can be guarded against at the time, but they are not dangers which when conflict has arisen and when passion is aroused can be got rid of by an appeal to the Queen in Council. The Colonial Secretary tonight told the House that when the Colonial Prime Ministers were here at the time of the Jubilee he handed them an amended Bill showing the changes which he would like to have introduced into the Constitution Bill on the question of appeal. It must be remembered that the undoubted intention of Sir James Abbott, when in March, 1898, he moved amendments which placed Clause 74 in its present form, was to carry out what the Colonial Prime Ministers believed were the Colonial Secretary's wishes as mentioned at the time of the Jubilee. These amendments were made and afterwards revised by the drafting committee with the intention of meeting the views of the Colonial Secretary; but if the amendments which were then introduced did not meet his view, why did not the Colonial Secretary again correspond with the Prime Ministers and those responsible for the drafting of this Constitution and say that the amendments were not sufficient? An immense time passed, step after step was taken in Australia, but no step was taken by the Colonial Secretary from 1897 until two or three months ago. I think we must agree with what was said by the Leader of the Opposition on that point, namely, that it would have been more courteous to the colonies and wiser in the interests of the changes which the right hon. Gentleman wished to obtain if the Colonial Secretary had made some communication between the date of the Jubilee and that of the Bill reaching this country in its present form. The right hon. Gentleman said to-night that the link of the Privy Council appeal was very precious in the interests of the Empire, and though he did not go so far as to use language as strong as that which has fallen from the hon. Member  for York, yet he quoted from a memorandum of the Privy Council itself very strong language indeed with reference to the value of the tie. In the Blue-book the right hon. Gentleman used an argument which he has not placed before the House. On page 28 of the Blue-book he expresses the view that the Bill is a retrograde measure, on account of its provision with regard to appeal, as far as Imperial federation is concerned. I should have been glad to have heard some attempt to justify that statement. I cannot conceive it to be the case. To my mind the whole controversy in which we are now engaged has exactly the opposite effect. If there is one proposal more than another that I have advocated in this House it is that we should prepare in time of peace for what may come upon us in time of war, by cooperation between our colonies and ourselves. I believe joint action of that kind would be formed if we had been able to accept this Bill without amendment, and if there were no actual danger to the Empire in accepting this Bill it would be far better to have taken the Bill as it stands. Instead of saying that the Bill would be a retrograde step as far as Imperial Federation is concerned it would have been better if the right hon. Gentleman had pointed out some positive danger to the Empire in taking the measure as it stands. In that it seems to me the Sec-rotary of State for the Colonies has conspicuously failed to-night. The right hon. Gentleman has told us that it is for external reasons—reasons affecting other nations—that it is necessary to make this change. I confess it seems to me that the right hon. Gentleman has entirely failed to establish any necessity, on what may be called the foreign or external point of view, for making this particular change in the Bill. We have already the weapon of the reservation of the Bill and of non-assent to it, we have also the weapon of the Colonial Laws Validily Act, and I cannot conceive any case being shown where an appeal to the Privy Council would be likely to save us from a foreign danger to which otherwise we would be exposed. The Secretary of State in the latter portion of the Blue-book appeals to the opinion of the colonies, and in his speech to-night he laboured rather hard to try and convince the House that opinion in the colonies was already in a very large minority with him, and was coming round  to his side, if it had not actually become a majority. He quotes three colonies out of seven as agreeing with his view, and he quoted to-night the opinion of Judges and newspapers against the opinion of the delegates who have the highest responsibility in this matter. Surely they represent the feelings of the people of Australia on this question more accurately than even the Australian Parliament or the Prime Ministers, and he has quoted against their opinion that of judges and i newspapers.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;11;Does the right hon. Baronet state that these delegates were elected?
